update_idx,run_label,oversight_prob,t_generate_and_process_batch,t_full_step,global_step,avg_unseen_or_unfinished_gate,avg_seen_diamond_gate,avg_seen_ghost_gate,policy_loss,value_loss,gate_loss,entropy_bonus,loss,avg_action_prob,avg_return,avg_gate_openness,reached_diamond_seen,reached_ghost_seen,reached_diamond_unseen,reached_ghost_unseen,n_complete_eps,complete_ep_len,run_id
0,routing,0.1,0.4395875930786133,0.6622388362884521,2048,0.5026686787605286,0.5048417448997498,0.502829372882843,0.4848792552947998,0.14636993408203125,0.006906077265739441,-0.13862617313861847,0.4995291233062744,0.2500360608100891,0.3476592004299164,0.4972659945487976,0.022988505747126436,0.034482758620689655,0.5057471264367817,0.4367816091954023,87,10.126436781609195,264679
1,routing,0.1,0.1337580680847168,0.22939729690551758,4096,0.502622663974762,0.5030493140220642,0.502200722694397,0.5263218879699707,0.16479146480560303,0.006921920459717512,-0.13862638175487518,0.5594089031219482,0.25006362795829773,0.38088539242744446,0.49732694029808044,0.04,0.03333333333333333,0.38666666666666666,0.2866666666666667,150,15.76,264679
2,routing,0.1,0.12400293350219727,0.20082402229309082,6144,0.5026524066925049,0.5023859143257141,0.5045254230499268,0.38574913144111633,0.12040329724550247,0.006933157332241535,-0.13862615823745728,0.374459445476532,0.24997930228710175,0.28189536929130554,0.49729010462760925,0.043478260869565216,0.034782608695652174,0.3217391304347826,0.30434782608695654,115,17.8,264679
3,routing,0.1,0.12408947944641113,0.21520113945007324,8192,0.5029104351997375,0.5032811760902405,0.5028629899024963,0.4028553366661072,0.127619206905365,0.006925100460648537,-0.1386266052722931,0.39877304434776306,0.25002139806747437,0.2993706464767456,0.49705958366394043,0.032,0.056,0.336,0.352,125,16.008,264679
4,routing,0.1,0.5220043659210205,0.6919987201690674,10240,0.5028108954429626,0.5033602118492126,0.5033974647521973,0.44563499093055725,0.13791079819202423,0.006932120770215988,-0.1386265754699707,0.45185133814811707,0.25004151463508606,0.32905399799346924,0.4971303343772888,0.03731343283582089,0.03731343283582089,0.3358208955223881,0.34328358208955223,134,16.223880597014926,264679
5,routing,0.1,0.24301409721374512,0.3772096633911133,12288,0.5029401183128357,0.5030220746994019,0.5040201544761658,0.4286459982395172,0.13214512169361115,0.006947161629796028,-0.13862627744674683,0.4291120171546936,0.24998341500759125,0.3165108561515808,0.4970081150531769,0.04504504504504504,0.04504504504504504,0.2702702702702703,0.42342342342342343,111,18.045045045045047,264679
6,routing,0.1,0.23581433296203613,0.3659553527832031,14336,0.5031293034553528,0.5036330223083496,0.5029458403587341,0.30553436279296875,0.09862025082111359,0.0069442675448954105,-0.13862662017345428,0.27247223258018494,0.25001654028892517,0.23314209282398224,0.49684345722198486,0.02857142857142857,0.05714285714285714,0.34285714285714286,0.24761904761904763,105,18.82857142857143,264679
7,routing,0.1,0.2447526454925537,0.37805867195129395,16384,0.503127932548523,0.5029515624046326,0.5051174163818359,0.3146936893463135,0.09968358278274536,0.006983128841966391,-0.13862638175487518,0.2827340066432953,0.25003781914711,0.2400825321674347,0.4968251883983612,0.017699115044247787,0.035398230088495575,0.34513274336283184,0.23893805309734514,113,19.451327433628318,264679
8,routing,0.1,0.2373034954071045,0.35468196868896484,18432,0.5030841827392578,0.5015827417373657,0.5020443797111511,0.4337996244430542,0.13653218746185303,0.006941366009414196,-0.13862591981887817,0.4386472702026367,0.25005215406417847,0.3281624913215637,0.4969255328178406,0.02564102564102564,0.042735042735042736,0.38461538461538464,0.3247863247863248,117,16.76923076923077,264679
9,routing,0.1,0.23360252380371094,0.35460686683654785,20480,0.5027110576629639,0.5027296543121338,0.5036404132843018,0.4303553104400635,0.1298065334558487,0.0069997478276491165,-0.1386260837316513,0.42853549122810364,0.2500428557395935,0.32959723472595215,0.4971887767314911,0.019417475728155338,0.04854368932038835,0.3300970873786408,0.34951456310679613,103,19.87378640776699,264679
10,routing,0.1,0.20269107818603516,0.2734503746032715,22528,0.5028380155563354,0.5027266144752502,0.5029515624046326,0.40574610233306885,0.1277294158935547,0.006960507016628981,-0.1386263221502304,0.4018096923828125,0.2500201463699341,0.31032082438468933,0.4970811605453491,0.018018018018018018,0.036036036036036036,0.36036036036036034,0.32432432432432434,111,17.864864864864863,264679
11,routing,0.1,0.12133932113647461,0.19090652465820312,24576,0.5026965737342834,0.5018026232719421,0.5024126172065735,0.4089406728744507,0.12929870188236237,0.006964356638491154,-0.13862554728984833,0.4065781533718109,0.2500545084476471,0.31918835639953613,0.49726417660713196,0.02459016393442623,0.040983606557377046,0.3360655737704918,0.3442622950819672,122,17.483606557377048,264679
12,routing,0.1,0.11562061309814453,0.1845719814300537,26624,0.5025291442871094,0.5030608773231506,0.5022434592247009,0.4118334949016571,0.1280251443386078,0.0069234552793204784,-0.13862578570842743,0.40815630555152893,0.25008270144462585,0.32099705934524536,0.4973846971988678,0.009009009009009009,0.009009009009009009,0.32432432432432434,0.3963963963963964,111,18.46846846846847,264679
13,routing,0.1,0.11629033088684082,0.18374848365783691,28672,0.5024943947792053,0.5019563436508179,0.5019279718399048,0.436367928981781,0.1343163549900055,0.006915671285241842,-0.13862572610378265,0.4389742314815521,0.24997198581695557,0.3415556252002716,0.4974369406700134,0.06504065040650407,0.008130081300813009,0.34959349593495936,0.34146341463414637,123,17.276422764227643,264679
14,routing,0.1,0.12355303764343262,0.19763994216918945,30720,0.5023508667945862,0.5015867948532104,0.5034655928611755,0.4020535945892334,0.12649545073509216,0.006976655684411526,-0.138625830411911,0.39689990878105164,0.2499806135892868,0.31837087869644165,0.49747931957244873,0.025423728813559324,0.0423728813559322,0.3474576271186441,0.3050847457627119,118,17.61864406779661,264679
15,routing,0.1,0.12142133712768555,0.21565890312194824,32768,0.5021454691886902,0.5031428933143616,0.5011231303215027,0.3496348559856415,0.11305492371320724,0.00688588060438633,-0.1386258602142334,0.3309498131275177,0.25004318356513977,0.2828251123428345,0.4976726174354553,0.05309734513274336,0.02654867256637168,0.36283185840707965,0.3185840707964602,113,16.76991150442478,264679
16,routing,0.1,0.2481985092163086,0.38579463958740234,34816,0.5020161867141724,0.5049912929534912,0.5004227161407471,0.41419491171836853,0.1318809986114502,0.006889217533171177,-0.1386251598596573,0.4143400192260742,0.24995265901088715,0.33152902126312256,0.49781519174575806,0.008403361344537815,0.01680672268907563,0.42016806722689076,0.2857142857142857,119,18.016806722689076,264679
17,routing,0.1,0.23743534088134766,0.36632370948791504,36864,0.5018665194511414,0.5009577870368958,0.5021229982376099,0.3518575131893158,0.11540639400482178,0.006968418601900339,-0.13862542808055878,0.3356069028377533,0.2500416338443756,0.28950515389442444,0.49795764684677124,0.026785714285714284,0.0625,0.39285714285714285,0.25892857142857145,112,18.008928571428573,264679
18,routing,0.1,0.23822569847106934,0.36066222190856934,38912,0.5017629861831665,0.5008347034454346,0.5032029151916504,0.32129403948783875,0.10467352718114853,0.006919634994119406,-0.1386253535747528,0.2942618429660797,0.24994982779026031,0.26812320947647095,0.49803510308265686,0.01904761904761905,0.009523809523809525,0.3238095238095238,0.3142857142857143,105,19.60952380952381,264679
19,routing,0.1,0.2370743751525879,0.3752555847167969,40960,0.5020167231559753,0.5038855075836182,0.5047855377197266,0.36930060386657715,0.1201571375131607,0.006949407514184713,-0.13862518966197968,0.35778191685676575,0.250013142824173,0.3056492805480957,0.49771198630332947,0.008403361344537815,0.03361344537815126,0.31092436974789917,0.3865546218487395,119,17.26890756302521,264679
